customer_tweet_id,customer_text,amazon_response
2718058,@AmazonHelp @57681 @117795  must be joking by sending this form again &amp; again. i have already escalated my concern twice with this form. Never seen such pathetic cust care service in my entire life. @19915 @18220 @131027 @1560,@665487 If you have shared your details on the link provided earlier. We must have received an email here: https://t.co/BZ1EdNgpKH Kindly check. ^SY
1714262,@AmazonHelp this is hilarious it's just straight up a bot now,"@519122 No robots here! We want to make sure this is looked into. When you get a chance, send us your info at the link GM provided. ^JM"
2118882,@AmazonHelp the 20th,@624439 Thanks for confirming. Is the order fulfilled by Amazon or a 3rd Party Seller? ^JJ
182854,@AmazonHelp No correspondence. Just that parcel is on way.spoke to CC twice today. Req to give mobile of courier guy. May be I reach to him and collect,"@159023 Sorry for the trouble. You must've received and email from us, you can check that here: https://t.co/deS2TU9Xfp and revert. ^MS"
1759082,@AmazonHelp Neither this time - https://t.co/lBZGJkDDAs,@529496 Sorry for the trouble. Pls contact JP customer service if you haven't received the package: https://t.co/J6YEizo6qC ^YM
2386400,@AmazonHelp Sent you a DM explaining the situation. Ultimately I’m hoping to be properly compensated for the unprofessionalism and the waste of my time.,@398508 We will respond directly via DM to avoid duplicate threads. ^NV
121044,"@AmazonHelp Não diz isso :( kk vou rezar pra q sobre no estoque e vcs prolonguem até a próxima semana então, obg!",@142941 Nada João! Abraço! ^JJ
575329,"@AmazonHelp Nah, more just letting you know your pushes aren't working as expected. I expect on Monday they won't be any problem. If there is I'll follow up then.","@255373 Okay, please let us know how you get on! ^HS"
2927682,@AmazonHelp Ok I try,@130737 Sorry for the trouble while connecting with our support team. Please tell us about the error that you're getting while trying to connect. We are here to help. ^KK
21014,@AmazonHelp Ur customer care is disconnecting my call by saying that we would not be able to give you any further I sight over this issue.Please explain,@118505 be able to provide any further insight on this. 2/2 ^SH
2733900,"@AmazonHelp Tomorrow. I don’t have an issue with the timing. I’m fine with it arriving tomorrow, I just think it’s foolish to send it to Kentucky to then arrive back in Indiana.","@766280 I understand, sometimes unforeseen circumstances may occur in the shipping process. Keep us updated on the delivery tomorrow! ^VF"
2460223,@AmazonHelp Amzl us,@704501 We'd like to look into this further. Please provide more details here: https://t.co/tA6i0gtfAu ^AF
2843725,"@AmazonHelp @791115 Hi, I ordered from ur website but I couldn’t find it in my orders.. I only find it in canceled orders! 🤔 https://t.co/Ja4JBDN5mj","@791106 Did you check your mails to see, if there is a message from us? ^BL"
11081,"@AmazonHelp At time of order, del date was 10/29. Carrier is AMZL US.",@118090 I would like a member of our team look into this for you. Please fill out this form: https://t.co/dOqIHIw6g0 ^BA
1261193,@AmazonHelp I have bought Polaroid snap from amazon india,@415452 Could you please provide us with the link of the product on our website. For us to assist you in a better way. ^KH
917003,@AmazonHelp I have seen thanks but you have not mentioned anything related to the gift card.,"@337704 I'm sorry, you may revert to our correspondence and we'll check this further for you. ^VN"
808125,"@AmazonHelp Eben, und genau das wollte ich vorher ja testen. Nicht, ob mir das Angebot gefällt, sondern ob ich es überhaupt technisch nutzen kann.","@312560 Dann kannst du es, indem du einfach ein Video ausleihst :) ^AV"
1676576,"@AmazonHelp Grazie #amazon! E, tra parentesi, complimenti per il modo di comunicare e promuovere! Simpatico ed efficace!",@510003 È stato un piacere! 😉 ^GD
2254601,@AmazonHelp Entro mezzanotte avrò il mio bottino. Sarà un duro lavoro ma ce la posso fare 😊,@656719 Confidiamo in te! 😉 ^LF
172241,@AmazonHelp Time delivering it just so they can meet an empty house every day then give me a refund when it goes undelivered,@156250 I'm truly sorry for the inconvenience. This is not the experience we want you to have! We'd like to help if we can. Please reach out to us here so we can share options with you: https://t.co/hApLpMlfHN ^MO
1532114,"@AmazonHelp Two were shipped by ""https://t.co/mj1N40bsvg LLC"", the third was ""Sparks DVD Sales"".",@475242 You can find additional information about e-mailing them here: https://t.co/OQz7el5Zid (2/2) ^LS
1099762,@AmazonHelp Yourself not assuring still on my delivery who the next person will response me #amazon.in,"@377403 Please let us know if you shared your details on the e-mail provided earlier, and our team will get back to you shortly. ^RD"
2236508,@AmazonHelp It’s been missed...,"@352928 We'd like to look into this with you. When you can, please reach us via phone or chat here: https://t.co/oGDklGgbCZ ^SJ"
627653,@AmazonHelp Fr!,@268653 You can reach our customer service by sending an e-mail directly at: __email__. You will be able to get assistance in English. ^ASZ
1504570,"@AmazonHelp Solo sale así, no da mas información https://t.co/0R58yqDscT","@469204 Comprendo, Holly. Por favor contacta con nuestros compañeros de Soporte al Cliente aquí: https://t.co/beR78zMMYB. ^LG"
1338019,@AmazonHelp I don't see any recent email from Amazon. Please send again.,@323715 You can check the correspondence sent from us here:https://t.co/O3skf9oaAX reply to the email for further assistance. ^PR
459935,"@AmazonHelp Will today if it doesn't arrive. @9583, I realize it's peak time of year, but 5 days with no update from Mississauga seems a bit excessive. It's a gift for a very important friend and I've had to delay twice. https://t.co/7hZig0hQLA","@224291 Please don't hesitate to contact us for further assistance, Jenn.^PJ"
2605721,@AmazonHelp I've already spent enough time on this.  Just know the Vegas Prime Now service lately is horrible.  Today I reordered and 1/2 was missing.,"@627565 Sorry to hear that, were you given a reason for the delay? ^AS"
784753,@AmazonHelp Téléphone car j'ai essayé plusieurs applications,"@307269 Avez-vous activé le GPS dans les paramètres?
^YL"
673135,"@AmazonHelp Yea I made contact from the order I had the issue with on Tuesday night, nothing in junk/spam","@280563 Hey Nicola, without giving any account info would you like to share your concerns with us here? If you wish to email us please use this link: https://t.co/JzP7hlA23B ^MA"
69753,@AmazonHelp  https://t.co/yIyAxTqMl7,"@131801 Oje, da ist wohl etwas schief gegangen. Melde dich doch bitte hier: https://t.co/va1VRoK7GS und die Kollegen prüfen, was da los ist. ^DW"
237734,"@AmazonHelp I think this 4 days back mail you are talking of??

Already replied boss https://t.co/rgMlXQUGSi",@158284 update you received from us and we will get back with the latest update. (2/2) ^GK
1058052,@AmazonHelp Mail says 2 reschedule!! I’ve been doing it for 4th time now.u have no solution so for what u will revert??#shameonyou @115821 @115850,@337086 Please wait until we reach out with further updates. (2/2)^YP
973585,@AmazonHelp Hav filled d address &amp; all details in Amazon form. After receving my Rs 34500 u cancel d order due price rise &amp; want me pay again. U r fraud,@350524 Thanks for sharing your details. We'll check and revert at the earliest. ^HK
1013779,@AmazonHelp checking my hub to see if I received that email.,@359877 Please keep us posted! We'd love to help. ^BE
1204465,"@AmazonHelp Had no emails at all, sent several messages and spoken via live chat. Still no idea what’s going on.",@343350 We'd like to see how we can help you so please reach out to us by phone or e-mail here: https://t.co/jzvkhdlrK5 ^DD
428655,@AmazonHelp WTF guys! Your delivery guys don't answer calls and now I'm getting this shitty update?! What's wrong with @AmazonHelp? https://t.co/XECKVAC1mT,@215321 My apologies for the trouble. Kindly reach out to us via: https://t.co/RboaDBVczl and we will have this checked. ^KS 1/2
596759,"@AmazonHelp It says it was delivered, but wasn't in my mailroom.",@261462 Understood. We're happy to take a closer look at this order with you and assist directly using ^AB's second link in our previous response. ^JR
1265098,"@AmazonHelp I already did the same yesterday
Today morning at 06:36 am i got sms from amazon that product will be delivered today
I have still not recd",@406894 I’m sorry about the delay. Request you to share your details via secure link mentioned earlier. We’ll look into it.  ^SB
191573,"@AmazonHelp I've done the chat, the call, everything and every single time I get different versions which is absurd.","@158457 Sorry for the hassle, Pratik. As our team is working on the issue, they will get back to you with an update soon. ^NK"
280680,@AmazonHelp No response,"@182810 Sorry for the miss, certainly not intended. Have you reported this to our support team here: https://t.co/R3EfhzgU8B? ^PS"
1338723,@AmazonHelp By Amazon - you? If you can't help am I wasting my time? Like I am being asked to waste time/effort etc. sending you broken china pieces.,@432255 We'd like to look into available options with you! Please reach us by phone/chat: https://t.co/JzP7hlA23B at your convenience. ^KJ
1357645,"@AmazonHelp Oh is it, like they have been r reaching since last 100 hrs. I think there is too much traffic on the way.","@313517 I understand that it's taking long, but your patience here will be highly appreciated, Arif. [1/2] ^ SK"
1746088,@AmazonHelp All are arriving on Monday as per portal,@314201 In case if there's a delay please write back to us so that we can assist you accordingly. (2/2)^MN
2560232,"@AmazonHelp Yes, however when I go to make an order the credit is still not applied",@726689 Are all the items in your order shipped and sold by Amazon? Promotional credit will only apply to items shipped and sold by Amazon. ^SA
437326,"@AmazonHelp Yes, last week they printed the wrong address and took a month to return a pair of boots that I got as a gift and still no boots","@218860 I'd like to ask a colleague to look into this. Please leave you info here, and we'll be in touch: https://t.co/xGNywLjfoh ^PF"
1145960,@AmazonHelp Says date pending on cod wwll  ps4,@389720 We'll e-mail you an updated delivery date. Please keep an eye on your inbox for the most up-to-date information. ^NN
2417630,@AmazonHelp 08385958668 my cell no and I am your regular customer but  I am in fix what can u do for me,"@694746 details, we consider it to be personal information. Our page is visible to the public. 3/3 ^PR"
1887464,@AmazonHelp Tomorrow but i clicked next day delivery not long after the cut off time so i was wondering if there would be a chance that it would come today.,"@562932 Hey, the order will be delivered on the estimated date given at checkout. ^RS"
2845596,"@AmazonHelp Je suis vraiment déçue car ça aurait pu être un colis beaucoup plus important ce retrouvant chez une personne qui m’est inconnu. La livraison était initialement prévue mercredi et aujourd’hui j’ai reçu un mail disant qu’elle était chez un voisin, pas top",@791503 N'hésitez pas à nous joindre via https://t.co/hgIrz98cdI afin de vous assister. Le SAV sera aussi en mesure de faire une réclamation pour prévenir que ce genre d'incident ne se reproduise. ^KD
538626,@AmazonHelp @115850  Thanks NK for you Prompt response and Thanks for your Advise.... But I want to know how much time it would be take? *Because already 76 Hrs completed and when I placed return request its said it would be 24- 48 Hrs on amazon app... So I don't want to wait more...,"@122048 I understand your concern regarding the return request. However, once you reach out to our support team, they'll get this issue resolved at the earliest. ^BV"
1589549,@AmazonHelp It's the new South Park on PS4. No idea on a delivery date at all.,@488768 Did the email advise that we would update you once we have new delivery details ? ^TD
38141,"@AmazonHelp Bloqué a ""en cours de livraison"" à la date de hier !!",@124282 Nous tenons à regarder cela de plus près et vous aidez. S’il vous plaît contactez-nous ici: https://t.co/hgIrz98cdI ^BR
139985,"@AmazonHelp Oui, je viens d'aller voir les modalités pratiques sur votre site. J'en ai redemander une nouvelle, et vais renvoyer celle-ci. Merci ☺️",@147580 C'est parfait. Nous restons à votre disposition en cas de besoin. ^SB
2470155,@AmazonHelp It is a mess what was supposedly delivered Sunday is scheduled for today according to sms but Thursday through website. And this time traveling order never came. Shows as delivered in the app. It is infuriating,"@706563 I can definitely understand your frustration. In this case, please contact us by phone or chat so that we can look into this more thoroughly for you: https://t.co/hApLpMlfHN. We want to help! ^SD"
420470,"@AmazonHelp You told that it was bcoz of limited stock, u should check stick b4 payment",@215205 I'll be sure to forward this as a feedback internally. ^AG
136166,"@AmazonHelp Unfortunately not, both orders are stuck like this https://t.co/q6TfZLssMR",@146682 Hi Stephen. What was the estimated delivery date given at the time the order was placed? It'll also be stated in your order confirmation e-mail. ^DC
2638427,"@AmazonHelp esse prazo conta de quando? comprei em 11/10, na pré-venda, e a previsão que deram era de chegar essa semana agora","@744631 O prazo é desde a data de lançamento. Qualquer novidade sobre o produto, você vai receber um e-mail com essas informações. ^NB"
1689750,@AmazonHelp I'll be waiting. Thanks,@511869 Thanks! Your understanding is highly appreciated. :) ^PB
852810,@AmazonHelp yes. The delivery was scheduled on 20th October.,@322590 Sorry about missing out on this delivery. May I know if you reported this to our support team here: https://t.co/vlvfJr4nN9? ^BS
2597917,@AmazonHelp I ordered a phone with icici credit card on no cost emi ...... the bank are charging interest amount and gst tax also with monthly emi ..... i have been trying to call amazon customer care ....... they rply me with they cant find my order that I placed ..... what bullshit!!!,@735531 That's odd. This looks like something we should be working on. Please drop in your details here: - https://t.co/cllwXc2HeK. We shall get back to once we have your details. ^SC
1425350,@AmazonHelp 早速質問してもいいですか？！,@451145 はい！何かお困りでしたらお伺いいたします。 YM
2560193,@AmazonHelp La date de livraison a été changée et ca me dit : date de livraison estimée au 14 novembre,@726684 Savez-vous quel est le transporteur en charge de votre livraison ? ^MH
508200,@AmazonHelp just got my dates confused but what i ordered was listed under prime and i ordered it monday with the free prime one day shipping. what happen?,"@231861 One-day Shipping refers on to the transit time in business days. If an item has processing time, or is out of stock, that time is not included. You can learn more about Prime Shipping here: https://t.co/1KU4rq6p4G I hope this information helps! ^EA"
96659,"@AmazonHelp It was next day Delivery FYI!!!
PLEASE DELIVER TODAY OR CANCEL THE ORDER
ORDER WILL BE REFUCED AT THE TIME OF DELIVERY.","@137095 My apologies about the delay, Abhishek. Allow our support team to look into this. You can connect with us here: https://t.co/R3EfhzgU8B and we'll have this checked for you right way. ^NK"
2314028,@AmazonHelp Is up to date though,@671020 I'm sorry to hear you're still having trouble with this! Please contact us via phone: https://t.co/hApLpMlfHN ^JP
751251,"@AmazonHelp Así es! Por cierto, anexo una imagen del artículo en cuestión: https://t.co/jr6IMmcHi1","@299560 Carlangas, ¿cuál es la fecha de entrega estimada que muestra la información de rastreo? ^VM"
1124079,@AmazonHelp Just done. Thanks :),@145861 Great :-) Keep us posted. ^TP
1744107,@AmazonHelp I'm  contacting from  last month &amp; everytime your executive asked me to wait 3-4 days we will initiate your refund. &amp; Now when I connect with your Customer service (IVR) they tell me your order is not found in system. You don't care your Customer. Amazon is using my money from,@526003 this for you at the earliest. 2/2 ^KH
2398239,@AmazonHelp Por supuesto. https://t.co/4KsYGWANwJ,"@690196 Entiendo, nos podrías indicar ¿si ya se te ha confirmado si el pedido ha sido enviado? y si es así, ¿te has podido poner en contacto con el transportista encargado de la entrega? ^KA"
2141279,@AmazonHelp I've attempted to give as a gift and I go directly back to the same screen. There should be a bypass option since feature implies usefulness.,"@629674 I'm sorry about this, Marc. When you bought it, did you purchase a kids version? Please see here: https://t.co/HXWDMjS2Ct ^BE"
226294,@AmazonHelp Also. Send me a link to cancel prime. Can’t find it.,"@170027 Hello, to cancel your Prime subscription please use the following link: http:https://t.co/a4Yc9lKczA ^CR"
152131,"@AmazonHelp Aber sagt mal, wann gehts denn bei der 2. Staffel ""Kevin Can Wait"" weiter? Die letzte Folge kam am 30. Okt 17 und hat auch nur die Beschreibung TBD :D","@150759 Hi, das Datum 30. Okt ist etwas verwirrend, da dies das Ausstrahlungsdatum in den USA ist. Bei uns kommen die Folgen 3 Wochen später. Es sollte also voraussichtlich wieder am kommenden Dienstag soweit sein. Schönen Gruß und gute Unterhaltung ^JS"
2529716,"@AmazonHelp Tried to drop details ,but could be successful.I could understand how&amp;what 2 do.
Order no. is https://t.co/5Ikqz8m4mj uni. Charger.","@720187 Please let us know if you need any assistance in filling the form, we'll assist. ^GS"
2306126,@AmazonHelp Amazonさん、かなり生活でお世話なってます^ ^ 今後とも良きサービス期待しています♪,@669042 いつもご利用いただきありがとうございます！今後もお客様に喜んでいただけるサービスをお届けできるよう努力して参ります🙏
1682667,@AmazonHelp C'est bon ! C'est envoyé ! &lt;3,@229177 Bien reçu 😍^FT
910662,"@AmazonHelp The response on this link is ""We could not find recent order for this Account""
This is pathetic customer service @115850",@336291 I understand your concern regarding the order cancellation. We'd like to look into it. Kindly share your details 1/2 ^AP
553392,@AmazonHelp Unfortunately,"@249059 Thanks for confirming that, Robert! What information or options were you provided when you contacted us? Keep us posted! ^CS"
1259013,@AmazonHelp Can you ensure this link is available and visible for all future orders ?,"@414997 Yes, you can certainly reach us using the secured link mentioned above for your future orders. ^AU"
674289,@AmazonHelp @115851 Still no response on why Prime cannot deliver to me. I have a collection of apologetic emails with no specific solution.,@280810 Hello! What is advised in the emails you're receiving?^CN
1239530,@AmazonHelp ありがとう,@410742 恐れ入ります、どうぞよろしくお願いいたします。リプライありがとうございました。　SM
1380289,"@AmazonHelp Hi @AmazonHelp, Please make sure these items must get pick up. Order # 402-7372436-8500315,
402-5950542-4650755. Amazon.in",@413729 We have sent you a correspondence here: https://t.co/8DAc10S7ww. Kindly check &amp; write back to it for further assistance. 1/2 ^SY
1762336,@AmazonHelp It’s been updated and will be delivered tomorrow now. Thank you for your help. 😊,@530263 You're most welcome! Reach out to us anytime. ^SK
127965,@AmazonHelp I’ve already filled it,@144764 Thanks a bunch for sharing your details. We shall reach out at the earliest  to make things right. ^CB
926315,"@AmazonHelp But yes, I've contacted Amazon Customer Services. If the item has been stolen by the driver, I want to know, and them sacking.",@337296 What exactly did customer service advise? ^PK
1663589,@AmazonHelp In teoria oggi,@507076 E' spedito da Amazon o da venditore terzo? Verificalo da qui: https://t.co/28YYyBgXYZ. ^MA
1719674,"@AmazonHelp Surprise, I had already communicated in that but nothing happened so far and today again the incident repeated -rohit@9893049758",@520555 That's strange. Let me work on this right away. Please drop your details here: https://t.co/831h6Im2ZJ ^VM
1137400,@AmazonHelp Just let me know when I will get my replacement,@387913 Please contact our support team using the link provided earlier so that we could have this checked. ^GS
979537,@AmazonHelp No I do not :( says delivered direct to customer but I was not in last night??,@352298 Please get in touch via phone or chat here: https://t.co/JzP7hlA23B and we'll investigate this for you. ^RL
2416386,@AmazonHelp 7291984522 my number,@126983 I request you to kindly provide the details through the link provided earlier.(1/2) ^PJ
238597,"@AmazonHelp nem sei, sou péssimo nisso.
infelizmente caiu cafe no meu anterior, o caboclo de lança =\","@172755 Eitaa nossaa, 😭😱 Ele sobreviveu ao cafe? ☕ ^DA"
1860273,@AmazonHelp Order number is 406-1254327-6575547,"@149070 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.(2/2)^VH"
2636829,"@AmazonHelp What other details do you want? If you'd like to DM me, I can give you all the details you'd like","@442775 I apologize but we are unable to access account or order details via Twitter, Liz! Please provide the requested information in the link ^SW provided and we'll get back in touch with you. ^CS"
1270184,"@AmazonHelp Thanks, is there any way of contacting the courier as I need to leave my house at 6pm?",@390160 Certainly! Let's check who the courier is and reach out to them together: https://t.co/JzP7hlA23B ^JZ
128073,@AmazonHelp Euphemistically stupidity https://t.co/OPQA3k4yWS,"@144768 As mentioned earlier, we have received your details and we will get back to you at the earliest. ^JS"
965022,@AmazonHelp Ok,@326613 We're working on your issue. We Will reach to you at the earliest. ^CB
2680326,"@AmazonHelp Me: Alexa, what's up?

Echo: Today, blah, blah, blah....

5 mins later...

Echo: The weight of the Earth is .....

Uh, ok. Thanks. ¯\_(ツ)_/¯",@754107 Alexa: Now with random science trivia! Impress your friends! Fun for all ages! 😋 ^SD
728795,@AmazonHelp @72562 problems.Deposited ₹ 2000 in Amazon Pay Balance. Ordered on 6 October 2017 Order# 405-4161264-1545919. Shows ₹ 219.What to do?,"@294575 Please don't provide your order details, as we consider it to be personal information. Our page is visible to the public. 2/2 ^PS"
105088,@AmazonHelp Hd,"@139215 Have you tried turning the device off, then back on? Once you've done so, then try to download the app again. If that does not work, then please let us know, so that we can further assist! ^GP"
1744083,"@AmazonHelp I have only one mail id that is I provided you can track by mobile number also, why are you not tracking by mob number???",@526003 You may have to add an email ID to the mobile account to fill the form. Request you to add an email ID to the account and contact us. We will help you further. Appreciate your understanding. ^BS
1033066,@AmazonHelp https://t.co/Eyt5ie6Chy,@364423 We'd like to check out options with you and the best way is to reach out directly using this link: https://t.co/EKXRLsnxJu ^GL
795205,@AmazonHelp Great no need.Espcially when 20 tweets are shared telling u mails have been written.This is amazon for u@Gadgets360 @348 @132995,"@181479 We wouldn't be able to access your details here, as Twitter is a public platform. I request you to kindly drop (1/2) ^PR"
535668,@AmazonHelp That item doesn’t come up as an option! I’m very unhappy!! You’re going to have to send something else that is ‘orbeez’ in proper packaging so Santa still gets something! I can’t wrap this from him as it was on the doorstep for all to see!!!!,"@244107 Was the order dispatched from Amazon or a third-party seller? If from us, please see: https://t.co/hInJxU7CcZ for more details. Let us know if that's the case! ^CS"
425439,@AmazonHelp What the fuck you guys are doing why the delivery date showing me like this https://t.co/IiGPVS6imy,@216204 here: https://t.co/9OllYTGo3U. Kindly check and revert. (2/2) ^ST
1500732,@AmazonHelp Hi. No. I am not filing out a form one more time for the same complaint. That’s not how it works this time. You get in touch with me,@366914 the link provided for further assistance. Appreciate your understanding. 3/3 ^NK
1028951,@AmazonHelp Yaa..Sure..But i could find other sellers shipping it..,@363465 Please connect with our support team through the link provided earlier so that we can look into the issue. ^SH
160240,"@AmazonHelp Ok Thanks, had me worried there for a second 🙏",@152921 Happy to help! Let us know if you have any other questions. ^MB
671732,"@AmazonHelp No Need now, Got a call from Delivery boy.","@280268 Glad to know that, looks like your package is on the way for delivery. Do keep us posted for any concerns. ^SU"
238141,@AmazonHelp  https://t.co/JtmnWG75bV,@172659 Thanks a bunch for flagging this to us.  I have shared the screen grabs to my team internally to work on. ^CB
450729,"@AmazonHelp I already did this yesterday and I got no reply back. I don't want to hear you're sorry, that does nothing. 
Placed order on November 26, 2017 ORDER # 114-9482832-8100211
Was originally suppose to get it November 29, 2017 and it got pushed back twice since then https://t.co/cyEKQN9Yz1","@221866 We don't have access into your account through social media platforms, but we'd like to assist you directly. Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^NC"
1351704,@AmazonHelp 1st you send me a link to give details. Now you say amazon.in cant resolve &amp; I have to approach https://t.co/CVoxLwUm4K. Why?!,"@435214 Apologies for the inconvenience, but we do not charge amount in dollars and as you stated that charged amount ^SM (1/2)"
2128997,@AmazonHelp if I need these for tomorrow is there anything I can do to get replacements in hand tomorrow?,@312489 We'd like to look into the available options with you. Please reach us here: https://t.co/hApLpMlfHN ^WT
966811,"@AmazonHelp ('ω')ノ
金曜日には〒で発送、只今近くの配達店まで配達中になってました。
昨日届くはずでしたが、台風も来てますし…待ってみまーす。",@349458 配送状況にご理解頂き、ありがとうございます。恐れ入りますが、ご様子を見ていただければ幸いです。その他ご不明な点がありましたら、いつでもご遠慮なくお問い合わせください。 EK
671727,"@AmazonHelp Done, please get back to me with the current status ASAP. I want my Phone today.",@280268 I've checked and I see that we haven't received your details yet. Please try to fill the form again so that we can look into it. ^SP
172269,"@AmazonHelp Hmm, non. Que dois-je faire pour contacter le SAV ?","@156255 En effet, nous n'avons pas accès à votre compte sur Twitter. Vous pouvez contacter notre SAV via le lien suivant : https://t.co/qzuu0dgDXz
^MD"
2537511,@AmazonHelp  No.,@483864 Please reach out to us here: https://t.co/JzP7hlA23B so we can look into this for you. ^ES
313301,"@AmazonHelp this is happening too many times, and to too many people. its time you take notice. delivery team marks order as delivered when it is not.",@190811 Sorry for the trouble. Provide your details in the link given earlier and we will get back to you with a resolution soon. ^GU
1112082,@AmazonHelp Oct 16-19,"@382458 Without sharing account information, who was the carrier for the order? That can be found here: https://t.co/PyACxvY8Qo ^TH"
2893128,"@AmazonHelp Hi @AmazonHelp, I submitted a copy of my bank statement for verification that was downloaded off online banking, it was declined and when I questioned it you have claimed it is a screenshot when it was a PDF from my internet banking.","@801886 That doesn't sound good James, please contact us here: https://t.co/JzP7hlA23B and we will investigate further. ^HS"
1141905,@AmazonHelp I am hearing same reply from last 15 days from your customer executive @115821.IN @amazonHelp let see how much more time does it take,@219482 We would do our best to make things right for you. Kindly share your details over the secure link. ^CB
96665,"@AmazonHelp Nein. Auch keine Karte. 
Leider kein Einzelfall, in den letzten 2-3 Wochen häuft es sich. Pakete ohne Zustellversuch bei Läden abgegeben oder Angeblich nicht angetroffen. Ein Paket ist ganz verschwunden. 
Support ist informiert, aber so geht es nicht weiter!","@137097 Der Support wird die nötigen Schritte in die Wege leiten. Bitte melde dich nochmal, wenn wir etwas tun können. ^BL"
849837,@AmazonHelp 21:00 uk time?,@321929 Yes. You can learn more here: https://t.co/oIfAhGPgji ^AF
2884845,@AmazonHelp No the last “specialist” and her manager were VERY rude to me and made me not even want to be a customer any longer. Im going to bed. I don’t feel you guys fight for your customers anymore. Tonight proved it’s more like a fight vs them.. I feel personally attacked by them tonight,"@572587 Oh no, that's certainly not how we want any of our amazing customers to feel! We do wish to help you with this though, please reach out to us by using the link provided in the previous response. ^GP"
2923515,@AmazonHelp こちらこそいつもありがとうございます。色々と助かってます。私のプレゼントもアマゾンさまから届くといいのですが(^_^;)残念ながら旦那サンタは見ていないようです,"@809020 (´・ω・`) 
私共からでもよろしければ、ぜひお母様へ少し早めのクリスマスプレゼントをお送りさせていただきたいと思っております...!
差し支えなければ、こちらからご連絡くださいませ🎅✨ https://t.co/U6Jsxq5LNv YM"
727874,"@AmazonHelp Delayed indefinitely. Preordering meant nothing, this item was distributed on Amazon Treasure Trucks on release day with no issue. Poor form",@294372 Sorry to hear that. Get in touch here:  https://t.co/hApLpMlfHN  and we'll be happy to help. ^RS
279373,"@AmazonHelp Last email which I recvd. Bt I recvd call frm 074079 33775 n sed tht amazon nid 2 verify the Acct  detail n asked the card info, bt I denied https://t.co/aSDeEztplN",@182606 Customer service is unable to access or provide assistance on blocked accounts. ^NR 2/4
1120371,@AmazonHelp let them know everything about your shit policy...,"@384330 I'm sorry for the inconvenience in delivering your order, your order details on Twitter will not help us gain access to 1/2 ^MJ"
522638,@AmazonHelp Have shared the details. Awaiting resolution,@240722 Thank you for confirming on filling in your details. Please be assured our team will get back to you at the earliest. ^PB
1387751,"@AmazonHelp ご丁寧にありがとうございますw
旦那が犯人でしたんで
大丈夫です。",@442892 ご注文された方が判明し何よりでございます。これからもhttps://t.co/st4oU5QbhPをどうぞよろしくお願いいたします。TN
927585,@AmazonHelp As I was supposed to get the delivery for my phone on 18th October and I have still not received and now it is showing it will deliver on 21,@340075 We regret the inconvenience this delay has caused. Kindly reach out to our support team 1/2 ^EM
2822374,@AmazonHelp Comme l approche de noel? Cela signifie t il qu ils sont succeptibles de rebaisser? Ca fait plusieurs jours que ca le fait sur un produit différent à chaque fois c est un peu déroutant...,@786519 Nous ne pouvons confirmer cela. Comme expliqué précédemment cela dépend de plusieurs critères. ^ARC
2817794,@AmazonHelp @183226 This has happened to me too. Total rubbish!,"@785457 Rox, thank you for reaching out. Do you have weekend delivery checked as a preference in your address book? ^SY"
1212237,@AmazonHelp Automated replies are of no use. You delivered my product to an address which was closed for Diwali. Order ID:-402-9068890-8005955,"@383566 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^AH"
